City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bonavista,100,CA,1566504546,78,48.65,-53.11,59.0,10.0
Storforshei,0,NO,1566504547,76,66.4,14.52,51.8,2.24
Coihaique,0,CL,1566504549,57,-45.58,-72.07,53.6,5.82
Kaitangata,100,NZ,1566504291,88,-46.28,169.85,41.48,3.8
Ilulissat,75,GL,1566504397,75,69.22,-51.1,44.6,2.24
Talcahuano,0,CL,1566504552,45,-36.72,-73.12,66.2,5.82
Bethel,40,US,1566504118,76,60.79,-161.76,55.4,12.75
Bandarbeyla,7,SO,1566504383,71,9.49,50.81,77.84,21.5
Katsuura,75,JP,1566504557,94,33.93,134.5,80.6,4.7
Pangoa,3,PE,1566504558,42,-12.12,-73.0,87.2,4.32
Vardo,40,US,1566504321,52,39.62,-77.74,93.99,3.36
Qaanaaq,100,GL,1566504271,68,77.48,-69.36,35.9,8.25
Zverinogolovskoye,93,RU,1566504561,92,54.46,64.85,57.68,4.25
Flin Flon,20,CA,1566504563,63,54.77,-101.88,62.6,13.87
Suoyarvi,0,RU,1566504564,89,62.08,32.35,49.94,6.55
Nanortalik,99,GL,1566504378,94,60.14,-45.24,37.7,3.53
Leningradskiy,99,RU,1566504307,87,69.38,178.42,38.96,17.6
Alta Floresta,0,BR,1566504404,25,-9.87,-56.08,98.6,3.36
Toora-Khem,65,RU,1566504403,89,52.47,96.11,45.08,2.1
Tazovskiy,71,RU,1566504112,78,67.47,78.7,47.78,4.5
Norman Wells,75,CA,1566504271,66,65.28,-126.83,51.8,13.87
Petropavlovsk-Kamchatskiy,75,RU,1566504572,100,53.05,158.65,51.8,3.29
Pevek,100,RU,1566504259,91,69.7,170.27,35.18,5.61
Dakar,20,SN,1566504341,88,14.69,-17.45,82.4,10.29
Mandal,68,MN,1566504575,69,48.82,106.5,53.0,3.67
Saint George,0,GR,1566504239,50,39.45,22.34,84.0,3.36
Mbaiki,56,CF,1566504578,94,3.87,17.99,69.74,2.55
Dali,65,CN,1566504579,60,34.79,109.94,71.72,3.2
Borogontsy,100,RU,1566504380,72,62.67,131.17,59.48,3.09
Aswan,0,EG,1566504581,13,24.09,32.9,95.0,6.93
Dwarka,40,IN,1566504289,78,28.58,77.04,82.4,3.36
Pendleton,1,US,1566504585,49,34.65,-82.78,96.01,10.29
Tuatapere,96,NZ,1566504317,94,-46.13,167.69,37.99,1.99
Anshun,0,CN,1566504359,87,26.25,105.93,60.02,1.83
Vila,0,IT,1566504588,64,45.18,8.4,77.0,5.82
Labuhan,100,ID,1566504305,86,-2.54,115.51,70.1,1.41
Campo Maior,0,BR,1566504591,33,-4.83,-42.16,85.76,2.06
Orikhove,62,UA,1566504592,44,48.1,38.11,78.02,9.71
Rio Grande,0,BR,1566504420,72,-32.03,-52.1,60.8,3.85
Half Moon Bay,5,US,1566504594,57,37.46,-122.43,87.01,10.29
Tilichiki,26,RU,1566504595,70,60.47,166.1,61.82,4.09
Acapulco,75,MX,1566504597,66,16.86,-99.88,86.0,8.05
Lake Cowichan,40,CA,1566504598,52,48.82,-124.05,69.01,8.05
Moramanga,100,MG,1566504599,95,-18.95,48.23,55.52,3.24
Moose Factory,75,CA,1566504609,72,51.26,-80.61,59.0,12.75
Mahebourg,20,MU,1566504250,88,-20.41,57.7,69.01,5.82
Los Llanos de Aridane,20,ES,1566504278,78,28.66,-17.92,73.4,16.11
Tomatlan,100,MX,1566504262,74,19.93,-105.25,83.06,9.22
Yangambi,65,CD,1566504614,84,0.77,24.47,73.16,1.32
Fallon,1,US,1566504616,45,46.84,-105.12,87.01,21.92
Cidreira,100,BR,1566504248,77,-30.17,-50.22,56.78,8.03
Ulaanbaatar,20,MN,1566504618,76,47.92,106.92,51.8,2.24
Snyder,75,US,1566504619,36,32.72,-100.92,96.01,8.05
Montrose,53,GB,1566504549,100,56.71,-2.47,62.6,8.05
Darhan,100,MN,1566504367,83,49.49,105.92,54.44,2.08
Victoria,75,BN,1566504191,83,5.28,115.24,80.6,6.78
Novovorontsovka,63,UA,1566504624,57,47.5,33.92,78.56,14.32
Souillac,0,FR,1566504350,31,45.6,-0.6,78.8,6.93
Caborca,0,MX,1566504626,40,30.58,-111.1,97.0,1.01
Naze,100,NG,1566504627,93,5.43,7.07,74.6,5.97
San Patricio,69,PY,1566504249,79,-26.98,-56.83,58.4,6.35
Thompson,20,CA,1566504270,59,55.74,-97.86,62.6,9.17
Luzhou,0,CN,1566504631,91,28.89,105.45,75.32,2.73
Flinders,0,AU,1566504632,64,-34.58,150.85,48.99,6.93
Pitimbu,40,BR,1566504633,69,-7.47,-34.81,80.6,14.99
Inuvik,75,CA,1566504635,75,68.36,-133.71,46.4,9.17
Sayyan,0,YE,1566504308,61,15.17,44.32,75.68,2.28
Ouadda,100,CF,1566504637,95,8.07,22.4,67.76,0.81
Jalu,0,LY,1566504328,51,29.03,21.55,81.08,15.37
Ancud,20,CL,1566504258,87,-41.87,-73.83,50.0,2.24
Kirakira,100,SB,1566504347,87,-10.46,161.92,78.74,12.5
Nanzhang,8,CN,1566504642,97,31.78,111.84,66.86,1.59
Platteville,40,US,1566504609,41,42.73,-90.48,80.01,3.18
Port Elizabeth,40,US,1566504281,41,39.31,-74.98,95.0,11.41
Andrews,75,US,1566504555,32,32.32,-102.55,93.2,6.93
Ayorou,100,NE,1566504297,62,14.73,0.92,81.44,1.03
Basco,1,US,1566504329,44,40.33,-91.2,81.0,8.05
East London,0,ZA,1566504252,32,-33.02,27.91,68.0,8.05
Makat,0,KZ,1566504650,28,47.65,53.35,85.04,10.04
Minyar,67,RU,1566504651,94,55.07,57.55,55.52,1.77
Nsukka,100,NG,1566504652,95,6.86,7.39,74.42,7.74
Shchigry,40,RU,1566504654,82,51.87,36.91,68.0,13.42
Bredasdorp,82,ZA,1566504284,93,-34.53,20.04,53.6,1.12
Makakilo City,90,US,1566504284,88,21.35,-158.09,87.01,4.7
Lasa,0,CY,1566504273,88,34.92,32.53,80.6,6.93
Puri,8,ID,1566504658,86,-7.54,112.45,70.1,8.57
Ugoofaaru,100,MV,1566504659,78,5.67,73.0,82.16,12.97
Saint-Francois,0,FR,1566504661,56,46.42,3.91,69.8,3.36
Cotonou,20,BJ,1566504662,83,6.37,2.43,78.8,14.99
Buchanan,75,LR,1566504663,88,5.88,-10.05,78.8,13.15
Liverpool,40,GB,1566504142,82,53.41,-2.98,64.99,16.11
Chuy,100,UY,1566504288,88,-33.69,-53.46,49.94,3.87
Yerbogachen,0,RU,1566504667,95,61.28,108.01,46.52,3.0
Torrington,1,US,1566504669,48,42.06,-104.18,86.0,21.92
Jacareacanga,20,BR,1566504670,47,-6.22,-57.76,95.0,3.36
Pacific Grove,1,US,1566504272,61,36.62,-121.92,90.0,6.93
Wajir,25,KE,1566504672,56,1.75,40.07,78.02,20.13
Verkhnevilyuysk,14,RU,1566504674,98,63.45,120.31,50.3,2.77
Taoudenni,37,ML,1566504675,15,22.68,-3.98,103.22,11.88
El Alto,20,BO,1566504677,8,-16.5,-68.19,60.8,16.11
Starozhilovo,52,RU,1566504678,68,54.23,39.91,64.99,4.0
Torbeyevo,75,RU,1566504679,82,54.07,43.25,67.94,5.57
Glebychevo,0,RU,1566504681,82,60.44,28.72,55.99,5.99
Batagay-Alyta,100,RU,1566504683,95,67.8,130.41,47.42,2.55
Mogadishu,11,SO,1566504684,84,2.04,45.34,75.68,14.85
Hasaki,75,JP,1566504347,94,35.73,140.83,77.0,9.17
Turukhansk,100,RU,1566504686,75,65.8,87.96,55.88,5.19
Saint-Augustin,90,CA,1566504277,47,45.63,-73.98,79.0,12.75
Muros,20,ES,1566504354,47,42.77,-9.06,78.8,5.82
Mundo Nuevo,0,CL,1566504690,31,-32.72,-71.41,84.2,9.17
Mamallapuram,75,IN,1566504377,78,12.63,80.17,82.4,9.17
Mahajanga,40,MG,1566504692,74,-15.72,46.32,78.8,4.7
Siilinjarvi,0,FI,1566504694,76,63.08,27.67,55.4,5.82
Geraldton,75,CA,1566504306,55,49.72,-86.95,60.8,6.93
Grindavik,75,IS,1566504342,87,63.84,-22.43,53.6,8.05
San Juan del Sur,40,NI,1566504697,79,11.25,-85.87,86.0,4.7
Cap-aux-Meules,75,CA,1566504699,83,47.38,-61.86,73.4,13.87
Wyndham,90,GB,1566504700,93,51.61,-3.54,66.0,10.29
Portland,1,US,1566503886,58,43.66,-70.25,86.0,8.05
Sambava,97,MG,1566504703,96,-14.27,50.17,67.4,1.97
Novikovo,60,RU,1566504704,84,51.15,37.89,68.66,12.8
Mount Gambier,90,AU,1566504283,81,-37.83,140.78,48.2,5.82
Albanel,75,CA,1566504706,60,48.88,-72.44,68.0,17.22
Beloha,0,MG,1566504708,73,-25.17,45.06,61.64,16.24
Srednekolymsk,100,RU,1566504351,65,67.46,153.71,50.48,11.95
Thinadhoo,100,MV,1566504710,63,0.53,72.93,82.88,3.15
Mana,46,NG,1566504712,88,13.03,5.27,73.52,6.11
Hami,0,CN,1566504358,27,42.84,93.51,72.98,6.11
Kamaishi,100,JP,1566504714,99,39.28,141.86,65.42,3.11
Moffat,100,GB,1566504716,93,55.33,-3.44,62.6,23.04
Mitsamiouli,0,KM,1566504275,83,-11.38,43.28,76.94,24.52
Temyasovo,6,RU,1566504718,76,52.99,58.1,57.2,6.71
Inhambane,20,MZ,1566504719,77,-23.87,35.38,66.2,3.53
Rochegda,100,RU,1566504722,99,62.67,43.41,54.08,6.15
Roald,75,NO,1566504723,87,62.58,6.12,57.2,3.36
Baykit,48,RU,1566504661,79,61.68,96.39,47.6,2.08
Sisimiut,0,GL,1566504343,88,66.94,-53.67,41.66,8.12
Talaya,20,RU,1566504727,93,55.79,84.89,50.0,2.24
Semnan,0,IR,1566504728,16,35.58,53.39,84.2,4.7
Mayo,20,CA,1566504729,49,63.59,-135.9,48.2,3.36
Marzuq,0,YE,1566504730,45,14.4,46.47,81.08,4.76
Yulara,0,AU,1566504069,51,-25.24,130.99,39.2,4.7
Campo Grande,0,BR,1566504733,25,-20.46,-54.62,89.6,6.93
Moshenskoye,0,RU,1566504734,96,58.52,34.59,52.28,4.99
Adamas,0,GR,1566504735,67,36.73,24.43,80.18,19.6
Bol,100,TD,1566504737,70,13.47,14.72,80.0,2.73
Evensk,0,RU,1566504398,65,61.92,159.24,62.0,2.21
Ailigandi,86,PA,1566504739,78,9.23,-78.02,82.7,8.05
Porto Walter,85,BR,1566504740,39,-8.27,-72.74,90.98,2.57
Uinskoye,26,RU,1566504742,96,56.88,56.58,59.48,6.42
Ponta Delgada,75,PT,1566504743,88,37.73,-25.67,73.4,13.87
Comodoro Rivadavia,0,AR,1566504502,54,-45.87,-67.48,59.0,5.82
Mkuranga,20,TZ,1566504745,88,-7.12,39.21,75.2,4.7
Roblin,22,CA,1566504746,54,51.23,-101.35,68.48,15.55
Sobolevo,67,RU,1566504276,87,54.43,31.9,54.08,4.45
San Cristobal,1,HN,1566504242,39,14.68,-86.92,87.56,10.78
Nuuk,75,GL,1566504276,81,64.17,-51.74,46.4,6.93
Salalah,40,OM,1566504357,94,17.01,54.1,77.0,5.82
Benghazi,0,LY,1566504299,71,32.12,20.07,79.1,15.73
Cervo,75,BR,1566504754,60,-22.19,-46.24,69.8,4.16
Ahipara,100,NZ,1566504318,100,-35.17,173.16,55.0,1.99
Aklavik,75,CA,1566504271,75,68.22,-135.01,46.4,9.17
San Carlos de Bariloche,0,AR,1566504302,46,-41.13,-71.31,50.0,10.29
Kulhudhuffushi,100,MV,1566504361,79,6.62,73.07,82.16,13.47
Constitucion,75,MX,1566504317,44,23.99,-104.67,75.2,4.7
Rinconada,75,MX,1566504762,42,25.68,-100.71,96.8,11.41
Ulladulla,0,AU,1566504393,64,-35.36,150.48,39.0,6.93
The Valley,40,AI,1566504210,66,18.22,-63.06,87.8,16.11
Port Hawkesbury,90,CA,1566504765,74,45.62,-61.36,84.99,10.29
Kimbe,100,PG,1566504767,82,-5.56,150.15,72.62,2.8
Valparaiso,40,US,1566504568,53,41.47,-87.06,81.0,11.41
Aiquile,0,BO,1566504769,32,-18.2,-65.18,69.92,19.71
Rajaldesar,0,IN,1566504488,47,28.03,74.47,87.92,16.51
Koslan,100,RU,1566504772,99,63.46,48.9,54.26,2.86
Dagana,75,MR,1566504773,63,16.52,-15.51,91.4,2.24
Yarada,100,IN,1566504774,83,17.65,83.27,82.34,3.74
Uige,0,AO,1566504775,58,-7.61,15.06,71.9,1.88
Kalabo,0,ZM,1566504777,51,-15.0,22.67,58.04,6.91
Solnechnyy,100,RU,1566504778,99,50.72,136.64,52.46,3.22
Pingxiang,20,CN,1566504779,81,27.63,113.85,76.4,1.9
Dera Bugti,0,PK,1566504781,30,29.03,69.15,87.56,5.08
Lagoa,0,PT,1566504782,61,37.14,-8.45,82.0,5.82
Havelock,75,US,1566504783,62,34.88,-76.9,91.4,16.11
Palmer,0,AU,1566504253,87,-34.85,139.16,48.0,9.17
Iskateley,100,RU,1566504786,91,67.68,53.15,50.66,4.21
Adelaide,0,AU,1566504736,87,-34.93,138.6,46.99,9.17
Belle Glade,75,US,1566504789,62,26.68,-80.67,91.0,16.11
Stephenville Crossing,75,CA,1566504790,82,48.5,-58.44,66.2,14.99
Allapalli,100,IN,1566504791,92,19.43,80.06,75.86,5.73
Sainte-Rose,90,CA,1566504792,47,45.61,-73.79,80.01,12.75
Opotiki,100,NZ,1566504794,99,-38.01,177.29,53.01,9.19
Chernyshevskiy,32,RU,1566504727,98,63.01,112.47,46.7,3.71
Bosobolo,51,CD,1566504796,89,4.19,19.88,71.36,3.33
Umm Kaddadah,100,SD,1566504361,70,13.6,26.69,76.94,6.35
Quatis,67,BR,1566504799,95,-22.41,-44.26,58.4,7.31
Luganville,75,VU,1566504800,94,-15.51,167.18,71.6,3.36
Sorland,40,NO,1566504310,93,67.67,12.69,51.8,3.36
Ust-Ordynskiy,19,RU,1566504803,100,52.8,104.75,51.8,4.47
Kruisfontein,83,ZA,1566504258,89,-34.0,24.73,54.26,5.32
Linqiong,40,CN,1566504805,88,30.42,103.46,82.0,6.71
Amahai,92,ID,1566504806,88,-3.31,129.0,75.5,8.97
Ouro Preto do Oeste,68,BR,1566504807,23,-10.75,-62.22,95.12,5.73
Cam Ranh,40,VN,1566504809,88,11.92,109.15,80.6,2.24
Santa Maria,40,BR,1566504810,25,-16.02,-48.01,87.8,6.93
Airai,1,TL,1566504275,81,-8.93,125.41,66.32,5.08
Puerto Leguizamo,0,CO,1566504813,78,-0.19,-74.78,82.52,2.01
Volot,0,RU,1566504814,93,57.93,30.71,53.54,5.3
Ajdabiya,0,LY,1566504815,74,30.75,20.22,78.74,19.86
Ukiah,1,US,1566504596,37,39.15,-123.21,95.0,4.7
Pisco,0,PE,1566504275,30,-13.71,-76.2,71.6,10.29
Willowmore,51,ZA,1566504819,50,-33.3,23.49,53.18,3.06
Vestmannaeyjar,100,IS,1566504277,92,63.44,-20.27,51.38,8.59
Leshukonskoye,100,RU,1566504284,98,64.9,45.76,53.54,3.2
Khasan,100,RU,1566504823,98,42.43,130.64,62.72,1.34
Eyrarbakki,75,IS,1566504824,81,63.86,-21.15,55.99,4.7
Olinda,0,AU,1566504825,93,-37.84,145.39,43.0,6.93
Morondava,89,MG,1566504827,60,-20.3,44.28,77.48,10.38
Teya,75,MX,1566504348,56,21.05,-89.07,97.0,13.87
Tautira,20,PF,1566504376,65,-17.73,-149.15,82.4,3.36
Sibolga,85,ID,1566504831,82,1.74,98.78,80.54,6.42
Chikola,0,RU,1566504832,68,43.2,43.92,71.6,6.71
Hammerfest,75,NO,1566504833,75,70.66,23.68,46.4,8.05
Semenivka,48,UA,1566504835,92,52.18,32.58,57.86,8.88
Aasiaat,26,GL,1566504836,82,68.71,-52.87,40.76,2.89
Tadine,24,NC,1566504837,57,-21.55,167.88,70.1,11.03
General Roca,0,AR,1566504341,48,-39.03,-67.58,60.8,3.36
Dingle,100,PH,1566504363,84,11.0,122.67,76.22,7.45
Gat,20,SN,1566504315,88,14.69,-16.54,78.8,10.29
Ayr,0,AU,1566504842,88,-19.58,147.4,48.0,3.53
Nyurba,77,RU,1566504364,98,63.29,118.35,49.22,2.01
West Wendover,1,US,1566504332,18,40.74,-114.07,84.2,9.17
Saint-Denis,0,FR,1566504846,52,48.94,2.36,73.4,5.82
Thohoyandou,0,ZA,1566504847,69,-22.97,30.46,50.66,1.07
Mezen,100,RU,1566504849,84,65.85,44.24,54.62,7.07
Tawang,100,BT,1566504850,91,27.59,91.87,56.78,3.8
Port-Gentil,90,GA,1566504851,83,-0.72,8.78,78.8,11.41
Port Hedland,0,AU,1566504402,47,-20.31,118.58,55.4,9.17
Kearney,90,US,1566504854,83,40.7,-99.08,73.99,6.93
Ajra,82,IN,1566504856,96,16.12,74.21,69.74,1.03
Nampula,75,MZ,1566504857,68,-15.12,39.26,69.8,6.93
Bakel,41,SN,1566504859,72,14.9,-12.46,81.62,11.36
